batchName,year,umId,majorTypeId,batchId,courseValue,univName,enrollId,courseGroup,lowScore,zbType,lowRank
本科普通批,2022,10422602,3,2,1,山东大学(02),36606896,物理,639,1,3881
本科普通批,2022,10422603,3,2,3,山东大学(03),36606897,"物理,化学,生物",624,1,5530
本科普通批,2022,10422604,3,2,1,山东大学(04),36606898,"物理,化学,生物",626,1,5280
本科提前批A段,2021,10422605,3,1,1,山东大学(5),36591744,政治,620,1,5343
本科普通批,2022,10384601,3,2,0,厦门大学(01),36606836,无限制,642,1,3533
本科普通批,2022,10384602,3,2,1,厦门大学(02),36606837,物理,644,1,3336
本科普通批,2022,10384603,3,2,2,厦门大学(03),36606838,"物理,化学",638,1,3984
本科普通批,2022,10384604,3,2,1,厦门大学(04),36606839,"物理,化学,生物",642,1,3533
本科普通批,2022,10358601,3,2,1,中国科学技术大学(01),36606820,物理,673,1,1018
本科提前批A段,2022,10335604,3,1,0,浙江大学(04),36607486,无限制,654,1,2375
本科普通批,2022,10335601,3,2,0,浙江大学(01),36606782,无限制,675,1,908
本科普通批,2022,10335602,3,2,1,浙江大学(02),36606783,物理,678,1,761
本科普通批,2022,10286601,3,2,0,东南大学(01),36606695,无限制,639,1,3881
本科普通批,2022,10286602,3,2,1,东南大学(02),36606696,物理,645,1,3241
本科普通批,2022,10286603,3,2,1,东南大学(03),36606697,"物理,历史,地理",655,1,2297
本科普通批,2022,10284601,3,2,0,南京大学(01),36606692,无限制,669,1,1278
本科普通批,2022,10284602,3,2,1,南京大学(02),36606693,物理,672,1,1071
本科普通批,2022,10284603,3,2,2,南京大学(03),36606694,"物理,化学",672,1,1071
本科普通批,2022,10269601,3,2,0,华东师范大学(01),36606657,无限制,645,1,3241
本科普通批,2022,10269602,3,2,1,华东师范大学(02),36606658,物理,644,1,3336
本科普通批,2022,10269603,3,2,1,华东师范大学(03),36606659,"物理,化学",653,1,2465
本科普通批,2022,10248601,3,2,0,上海交通大学(01),36606649,无限制,672,1,1071
本科普通批,2022,10248602,3,2,1,上海交通大学(02),36606650,物理,685,1,491
本科普通批,2022,10248603,3,2,1,上海交通大学(03),36606651,物理,681,1,636
本科普通批,2022,10247601,3,2,1,同济大学(01),36606647,物理,662,1,1723
本科普通批,2022,10247602,3,2,1,同济大学(02),36606648,物理,648,1,2940
本科提前批A段,2022,10246604,3,1,0,复旦大学(04),36607472,无限制,670,1,1207
本科提前批A段,2022,10246605,3,1,0,复旦大学(05),36607473,无限制,635,1,4288
本科普通批,2022,10246601,3,2,0,复旦大学(01),36606644,无限制,677,1,807
本科普通批,2022,10246602,3,2,1,复旦大学(02),36606645,物理,681,1,636
本科普通批,2022,10246603,3,2,1,复旦大学(03),36606646,"物理,化学",684,1,522
本科普通批,2022,10213601,3,2,1,哈尔滨工业大学(01),36606605,物理,652,1,2546
本科普通批,2022,10213602,3,2,1,哈尔滨工业大学(02),36606606,物理,607,1,7704
本科普通批,2022,10213603,3,2,1,哈尔滨工业大学(03),36606607,物理,611,1,7169
本科提前批A段,2022,10183612,3,1,1,吉林大学(12),36607470,政治,619,1,6115
本科普通批,2022,10183601,3,2,0,吉林大学(01),36606560,无限制,624,1,5530
本科普通批,2022,10183602,3,2,0,吉林大学(02),36606561,无限制,617,1,6380
本科普通批,2022,10183603,3,2,1,吉林大学(03),36606562,物理,632,1,4629
